,ID,nom,departement,ville,CP,type,NO2_2012,PM10_2012,PM25_2012,geometry
10004,9080,CC VILLE Jean Jaurés 19ème,75,Paris 19,75019,crèche,48.04727010726928,28.988298892974854,18.377542233467103,"c(2.3883635170113, 48.8875099734007)"
10005,9081,Crèche BALOO,75,Paris 18,75018,crèche,42.281174671649936,26.891137880086898,16.51005452275276,"c(2.36066648051758, 48.8852609171645)"
10006,9082,Multi Accueil Hippocampe,75,Paris 19,75019,crèche,40.31036007404328,26.069449696093802,15.906164051815866,"c(2.3897721652074, 48.882064690999)"
10007,9083,CF VILLE Noisy Le Sec 20ème,75,Paris 20,75020,crèche,40.651283025741584,26.27684130907059,16.181763494014742,"c(2.41203529254835, 48.8719792340012)"
10008,9084,CC VILLE Théodore Deck  15ème,75,Paris 15,75015,crèche,53.97143162250518,32.225728447437284,21.187694494128227,"c(2.28937608975884, 48.8372501328177)"
10009,9085,CC VILLE Montéra 12é,75,Paris 12,75012,crèche,41.356152582168576,26.592002320289605,16.493141388893125,"c(2.41011577244776, 48.8457746519305)"
10010,9086,CC Ville Gambetta (243) 20ème,75,Paris 20,75020,crèche,66.97280173301698,35.15090576291084,23.623822838068012,"c(2.40576981293862, 48.8753571326428)"
10011,9087,CC VILLE Guignier 20ème,75,Paris 20,75020,crèche,43.37846544623373,27.008118720054625,16.736202116906647,"c(2.39359000516274, 48.8716154394267)"
10012,9088,CC Ville Quai Oise/Ourcq 19ème,75,Paris 19,75019,crèche,56.41529646158219,32.26061891913414,20.957977385222915,"c(2.38245520755836, 48.8902018558729)"
10013,9089,MA Ville Bullourde 11éme,75,Paris 11,75011,crèche,39.76196571490728,26.291446910309602,16.038173132645895,"c(2.37670024052124, 48.8546459774448)"
10014,9090,CC VILLE Dr Gley 20é,75,Paris 20,75020,crèche,41.56076898574829,26.611177920103074,16.461668926477433,"c(2.41116230975594, 48.8769397406951)"
10015,9091,CC VILLE Crimée (154) 19ème,75,Paris 19,75019,crèche,47.92320048213005,28.933749201893807,18.27462646737695,"c(2.38010764022699, 48.8878227953769)"
10016,9092,MA VILLE G Geffroy 13éme,75,Paris 13,75013,crèche,37.4228043437004,26.429090631008147,16.121745207905768,"c(2.35122698351118, 48.8351312083397)"
10017,9093,CC Ville Quai de Charente 19e,75,Paris 19,75019,crèche,39.771394404172895,26.179137589484448,15.972343856990335,"c(2.38285980876285, 48.8982673621419)"
10018,9094,CC VILLE Beaujon L.Diebold 8èm,75,Paris 08,75008,crèche,39.365405106432746,26.264646496390924,16.021214569616127,"c(2.30543859585727, 48.8760224521191)"
10019,9095,MA HG Ville Beaujon L.Diebold,75,Paris 08,75008,crèche,39.365405106432746,26.264646496390924,16.021214569616127,"c(2.30543859585727, 48.8760224521191)"
10020,9096,CC VILLE Campo Formio 13ème,75,Paris 13,75013,crèche,37.640373501777646,26.37626177310943,16.089519962072373,"c(2.36006892118662, 48.8343116650151)"
10021,9097,CC Ville Charolais 12éme,75,Paris 12,75012,crèche,39.456170558817675,25.949410698032004,15.829920451259241,"c(2.38699475400947, 48.839981968015)"
10022,9098,CC VILLE Liancourt 14ème,75,Paris 14,75014,crèche,36.30172452173196,26.14565485100728,15.949239502954295,"c(2.32557837535927, 48.8344795956212)"
10023,9099,CC VILLE art 30 Orteaux 20,75,Paris 20,75020,crèche,41.017426614761355,26.34029585123062,16.219600417613982,"c(2.40063189867134, 48.8568013710375)"
10024,9100,MA CC VILLE G. Geffroy 13ème,75,Paris 13,75013,crèche,37.43481876234989,26.43400240759831,16.12413137376309,"c(2.35131771335487, 48.8353910823733)"
10025,9101,CC/MA Feydeau,75,Paris 02,75002,crèche,40.427821197062734,26.503633763939142,16.172016094774012,"c(2.34022208229817, 48.8698715876429)"
10026,9102,MC Brin de Folie,75,Paris 11,75011,crèche,40.23826713562012,26.083476209640498,15.910920888185501,"c(2.38606023662143, 48.8607899076785)"
10027,9103,MA Jeux de Mots,75,Paris 19,75019,crèche,59.68679101288318,33.86182692080736,22.319714245498187,"c(2.37571451916263, 48.8828900690562)"
10028,9104,MA CRECHES ET MALICES VOUILLE,75,Paris 15,75015,crèche,43.01766913175583,28.5229829967022,18.130019788146022,"c(2.30456444525121, 48.8349170403777)"
10029,9105,MA Berzélius,75,Paris 17,75017,crèche,43.0909419965744,27.539533618092538,17.04404592871666,"c(2.31981765911216, 48.8944085549263)"
10030,9106,MA VICTOR HUGO,75,Paris 16,75016,crèche,51.450018150806414,31.43562061905861,20.398038893342022,"c(2.28298143241361, 48.8686614973487)"
10031,9107,HG BOLIVAR/PARIS19,75,Paris 19,75019,crèche,83.44352450370789,42.81204001367093,29.97315304249525,"c(2.38402510334704, 48.874180025467)"
10032,9108,MA LPCR PARIS LEVIS,75,Paris 17,75017,crèche,43.43216094374657,27.80163773000241,17.310189554095267,"c(2.31313392390508, 48.8830078609521)"
10033,9109,MA Ainsi Font Font Font,75,Paris 15,75015,crèche,42.31714405059814,27.71454711914062,17.416393680572508,"c(2.29670715095928, 48.8467655623374)"
10034,9110,MULTI ACCUEIL FREMICOURT,75,Paris 15,75015,crèche,43.0148101234436,27.900884017944325,17.533529407978055,"c(2.29963395198559, 48.8483299217763)"
10035,9111,MULTI ACCUEIL CAVAIGNAC,75,Paris 11,75011,crèche,48.70969705045224,29.502104288041593,18.68328419029713,"c(2.3806875925716, 48.8559867924689)"
10036,9112,HALTE GARDERIE CHARRIERE,75,Paris 11,75011,crèche,40.76378298938275,26.556822297275072,16.289321956038478,"c(2.38208078974501, 48.8528525331861)"
10037,9113,HALTE GARDERIE TROTTE LAPINS,75,Paris 15,75015,crèche,44.510192852020275,28.237371392250065,17.930206532478334,"c(2.27853216664195, 48.8385739125344)"
10038,9114,HG ENVOLUDIA RAMDAM,75,Paris 18,75018,crèche,41.863537588119506,27.03833430767059,16.63221368670463,"c(2.33860179102309, 48.8983754328056)"
10039,9115,HG ENVOLUDIA LE CHALET,75,Paris 10,75010,crèche,40.679280890226366,26.338848298490053,16.074737225994472,"c(2.37358299665644, 48.873634504327)"
10040,9116,Multi-Accueil BAMBINI,75,Paris 14,75014,crèche,34.623236961960785,25.84071887075901,15.762838559448713,"c(2.31764580224492, 48.8266052325425)"
10041,9117,MA Rondes Comptines Cde France,75,Paris 03,75003,crèche,39.758562790751455,26.504866759181024,16.18085911244154,"c(2.3668232639759, 48.8567274318248)"
10042,9118,MA Bulles de Savon CdeFrance,75,Paris 09,75009,crèche,50.894528012275686,30.364270592927934,19.30818444848061,"c(2.33712900311348, 48.876328965206)"
10043,9119,MA Le Jardin doré CdeFrance,75,Paris 06,75006,crèche,42.84306653439999,28.35038185030222,17.6640625987947,"c(2.33156376026472, 48.8459946260415)"
10044,9120,MA Les Robinsons,75,Paris 20,75020,crèche,39.342782767415045,25.75482614710927,15.719093961045148,"c(2.39984928639571, 48.8523096758789)"
10045,9121,CC Bellevue,75,Paris 19,75019,crèche,40.149400806427,25.9885657787323,15.85302484035492,"c(2.3928105369916, 48.8792206595048)"
10046,9122,MA LES WAGONNETS,75,Paris 10,75010,crèche,58.68985926866532,33.126490246057514,21.642279191017156,"c(2.3573948162535, 48.8800136514365)"
10047,9123,CC achat places Haudriettes 3é,75,Paris 03,75003,crèche,51.6361794090271,30.73507942199707,19.745198369026184,"c(2.35776492214891, 48.8614460832965)"
10048,9124,CC VILLE Blomet 15ème,75,Paris 15,75015,crèche,37.22295404434204,25.76842322327197,15.724488192722205,"c(2.30423584152099, 48.8421232716815)"
10049,9125,CC Ville Th. Gautier 16ème,75,Paris 16,75016,crèche,35.48953083623201,25.045321028446786,15.27742570440751,"c(2.27095882981113, 48.8491908513446)"
10050,9126,CC Ville art 30 Verlomme  3ème,75,Paris 03,75003,crèche,39.758562790751455,26.504866759181024,16.18085911244154,"c(2.3668232639759, 48.8567274318248)"
10051,9127,CC Ville art 30 St Charles 15e,75,Paris 15,75015,crèche,55.09839106202126,32.77791512608528,21.74152780473232,"c(2.28768411292277, 48.8491964079683)"
10052,9128,Multi Ac Les Petits Gailhard,75,Paris 19,75019,crèche,53.51124799251557,31.182490389347077,20.171318407058717,"c(2.38170062271897, 48.8782032152549)"
10053,9129,MA COCO 1,75,Paris 16,75016,crèche,37.40247487068177,26.05279753684998,15.927896819710732,"c(2.28502797429302, 48.8666359679617)"
10054,9130,MA Pasteur,75,Paris 15,75015,crèche,53.8017704027891,32.52921244949102,21.294819609969853,"c(2.30709562822658, 48.8369255829749)"
10055,9131,MA Madeleine,75,Paris 08,75008,crèche,40.054934130720795,26.42311727247201,16.11888141832314,"c(2.3269161464829, 48.8707883390445)"
10056,9132,CC FOND J MOULIN LUMIERE 12E,75,Paris 12,75012,crèche,47.27477057278156,28.74467642605305,18.100142564624548,"c(2.38678562621063, 48.8306136786064)"
10057,9133,Halte-Garderie Petits Soleil,75,Paris 12,75012,crèche,38.77143595218658,25.89043538570404,15.793165427446365,"c(2.38798622458778, 48.8346008127821)"
10058,9134,Multi-Accueil Histoire d'Ours,75,Paris 19,75019,crèche,54.39944961965085,31.66201631426811,20.566169684380288,"c(2.3750283859493, 48.8883365019931)"
10059,9135,MA  Ville Felibien 6é,75,Paris 06,75006,crèche,49.26570224761963,30.773770074844364,19.82093934059143,"c(2.33658722916382, 48.8521507305936)"
10060,9136,CC Ville Château d'eau 10ème,75,Paris 10,75010,crèche,40.584029525518424,26.443579302430148,16.13058305859566,"c(2.35930679050279, 48.8705818277051)"
10061,9137,MA Ville 6 Ganneron 18éme,75,Paris 18,75018,crèche,42.72316400527954,27.393441452980035,16.91498955488205,"c(2.3268931496132, 48.8898570946255)"
10062,9138,MA Ville Brunetiére 17éme,75,Paris 17,75017,crèche,39.05940599367022,26.394314754754305,16.103602297604088,"c(2.29983409663423, 48.8897931862498)"
10063,9139,HG Giono,75,Paris 13,75013,crèche,39.24892526149749,26.52800093054771,16.24283083617687,"c(2.37465001554744, 48.835467004361)"
10064,9140,CF VILLE Duris 20ème,75,Paris 20,75020,crèche,40.51470949649811,26.01725367307663,15.870524780452255,"c(2.38884124107735, 48.8644895666122)"
10065,9141,MA Lucioles & Cie CdeFrance,75,Paris 17,75017,crèche,38.09785964787007,26.31160337999463,16.060578195750715,"c(2.28970657995557, 48.8837310876422)"
10066,9142,CC VILLE Francis Ponge 19ème,75,Paris 19,75019,crèche,42.81570513606072,26.980717003643512,16.721577187925575,"c(2.39402559824473, 48.882171437983)"
10067,9143,CC GAN KITOV,75,Paris 17,75017,crèche,41.482711229324345,27.095392179489142,16.680819743871687,"c(2.3062150995895, 48.8870699755879)"
10068,9144,MA LE PETIT FRANCOIS,75,Paris 15,75015,crèche,37.408951277732854,25.83484310984612,15.7592543682456,"c(2.30559121962144, 48.8450801398669)"
10069,9145,MA Duployé Famille et Cité 18é,75,Paris 18,75018,crèche,41.33684830665589,26.495391055047516,16.1957687625289,"c(2.3552394883938, 48.8890816241498)"
10070,9146,CC CRECHE CLUB DES 3ZANS,75,Paris 20,75020,crèche,44.133854055404655,27.45870242118835,17.011168372631072,"c(2.40141244482206, 48.8643446655438)"
10071,9147,CC LIBELLULE ET PAPILLON,75,Paris 20,75020,crèche,44.183614197969426,27.42346059918404,17.079760859310625,"c(2.39979242303922, 48.8641095845342)"
10072,9148,CC LES TIMINIS,75,Paris 04,75004,crèche,68.55648757219313,37.79356315016747,25.558922978639604,"c(2.34829946383443, 48.8555555604871)"
10073,9149,CC L'ILE AUX ENFANTS,75,Paris 04,75004,crèche,38.88384307146072,26.58720907837153,16.218197816312312,"c(2.35144689109411, 48.8529028346719)"
10074,9150,CC Ville  art 30 Cardinet 17é,75,Paris 17,75017,crèche,41.482711229324345,27.095392179489142,16.680819743871687,"c(2.3062150995895, 48.8870699755879)"
10075,9151,Halte Garderie  Apennins,75,Paris 17,75017,crèche,40.92020801782608,26.74204936921596,16.377750706076622,"c(2.32190139124417, 48.8905437796675)"
10076,9152,CC VILLE Annelets 19ème,75,Paris 19,75019,crèche,40.53413242995739,26.11712054371834,15.948133109658954,"c(2.38970524071847, 48.8785647169495)"
10077,9153,CC VILLE Botha 20ème,75,Paris 20,75020,crèche,40.65009970664978,26.108789731860167,15.926361413896085,"c(2.38474079113333, 48.8702983828576)"
10078,9154,CRECHE FAMILIALE ESTRELIA,75,Paris 19,75019,crèche,48.822844396233556,29.575910645723344,18.78565554574132,"c(2.36912079514821, 48.8864729687319)"
10079,9155,CP Farandole,75,Paris 20,75020,crèche,39.32395226836204,25.724083116650576,15.691690673828125,"c(2.40031155944103, 48.8556059183583)"
10080,9156,CC Arfog Lafayette 10ème,75,Paris 10,75010,crèche,71.452163888216,38.39143745958805,26.069557728767396,"c(2.36331686993057, 48.8809070003013)"
10081,9157,CC Arfog Bizot 12ème,75,Paris 12,75012,crèche,54.306413662433634,31.922532699108125,20.92086488425732,"c(2.39868183585131, 48.8330987635946)"
10082,9158,MA Les Dauphins,75,Paris 16,75016,crèche,43.39205899238586,28.58310176730156,18.127692458033568,"c(2.27435329377568, 48.8688573213586)"
10083,9159,MA BIO CRECHE CONVENTION,75,Paris 15,75015,crèche,46.292473192214956,29.580502285957337,19.053766479492193,"c(2.29442255552875, 48.8377822741185)"
10084,9160,MA les Malicieux de  Montcalm,75,Paris 18,75018,crèche,41.48266042232514,26.671189484596248,16.327875197529792,"c(2.33956191039807, 48.8939809023229)"
10085,9161,MA Cabriole,75,Paris 08,75008,crèche,39.93408937454224,26.34470734596253,16.070271468162538,"c(2.31800836229727, 48.8729498323164)"
10086,9162,MA Tocqueville,75,Paris 17,75017,crèche,39.551082659768866,26.3855108499527,16.09516207575798,"c(2.3058111272065, 48.8887353194533)"
10087,9163,MA Condorcet,75,Paris 09,75009,crèche,40.72841208457947,26.45844841480255,16.139653172492974,"c(2.3447030585977, 48.8799228505699)"
10088,9164,MA Exelmans,75,Paris 16,75016,crèche,58.872372972369185,33.29428723633289,21.919485610425472,"c(2.26683610164684, 48.8397685894087)"
10089,9165,MA LE MOULIN EN HERBE,75,Paris 12,75012,crèche,38.35836334228516,25.63741989135742,15.638826084136966,"c(2.39793335955691, 48.8340935909094)"
10090,9166,CC Arfog Sèvres 6ème,75,Paris 06,75006,crèche,47.631443680524825,30.010638786554328,19.134830161929127,"c(2.32273152439457, 48.849517035978)"
10091,9167,M A LES MALICIEUX DE BUCAREST,75,Paris 08,75008,crèche,41.464494597911845,26.895653867721556,16.5080186188221,"c(2.32630053101971, 48.8806506116384)"
10092,9168,Halte Garderie ORIGAMI,75,Paris 12,75012,crèche,39.749796539545066,26.414746786654,16.1421858727932,"c(2.37588771434663, 48.849683083119)"
10093,9169,MA Cardinet,75,Paris 17,75017,crèche,54.82373329162598,32.024852561950695,20.865890674591068,"c(2.31534503714507, 48.8881544577808)"
10094,9170,CC VILLE Arbre Sec 1er,75,Paris 01,75001,crèche,39.802188855409625,26.68698784410953,16.31149272352457,"c(2.34202176713692, 48.8597533537084)"
10095,9171,CC Ville Lafayette 10ème,75,Paris 10,75010,crèche,72.90029376745223,38.42193068861961,26.21147800087929,"c(2.36868987330623, 48.8823920792024)"
10096,9172,CC HEIKHAL MENAHEM,75,Paris 20,75020,crèche,46.516659898757936,28.507695889472966,17.925694430470468,"c(2.38473935382849, 48.8654704743489)"
10097,9173,CC VILLE Tanger 19ème,75,Paris 19,75019,crèche,49.832128691673276,29.992003273963928,19.138121718168254,"c(2.37078609202149, 48.8883426449404)"
10098,9174,CC HC Ville Broussais (28) 14,75,Paris 14,75014,crèche,36.10192184448242,26.235315322875977,16.003541946411133,"c(2.33655767458908, 48.8288003905745)"
10099,9175,MA Les Petits Trains,75,Paris 08,75008,crèche,56.82429077804088,32.538583966493604,21.327535542845727,"c(2.32684562873359, 48.8766279140966)"
